19-06-18 20:46:45 DEBUG [main] EHCache [BlackListEHCache] init success!。Caller+0	 at com.xudong.core.cache.EHCacheUtil.<init>(EHCacheUtil.java:52)
19-06-18 20:50:46 DEBUG [main] CacheUtil inited,cacheName is [ChatSessionCache]。Caller+0	 at com.xudong.core.cache.CacheUtil.init(CacheUtil.java:56)
19-06-18 20:50:46 DEBUG [main] Cache [cacheName:ChatSessionCache,cacheClass:java.util.HashSet,redisDatabaseIndex:4] inited。Caller+0	 at com.xudong.core.cache.AbstractCache.initLog(AbstractCache.java:75)
19-06-18 20:50:46 DEBUG [main] get RedisTemplate, dababase is [4]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:117)
19-06-18 20:50:46 DEBUG [main] RedisTemplate inited, dababase is [6]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-18 20:50:46 INFO [main] Inited SqlSessionFactory,typeAliasesPackage:[com.xudong.im.domain],mapperLocations:[classpath*:mapper/*Mapper.xml],Mappers:[BlackListMapper.xml, SensitiveWordMapper.xml, TalkSkillMapper.xml]。Caller+0	 at com.xudong.core.mysql.MybatisHelper.getSqlSessionFactory(MybatisHelper.java:71)
19-06-18 20:50:47 INFO [main] >>>> WebSocketConfig inited。Caller+0	 at com.xudong.im.config.WebSocketConfig.registerStompEndpoints(WebSocketConfig.java:29)
19-06-18 20:50:48 INFO [main] >>>> RestTemplate inited。Caller+0	 at com.xudong.im.config.http.RestTemplateAutoConfiguration.restTemplate(RestTemplateAutoConfiguration.java:48)
19-06-18 20:51:51 DEBUG [main] EHCache [BlackListEHCache] init success!。Caller+0	 at com.xudong.core.cache.EHCacheUtil.<init>(EHCacheUtil.java:52)
19-06-18 20:51:51 INFO [main] RedisTemplateCreator inited,org.springframework.data.redis.connection.jedis.JedisConnectionFactory@2c3158e0,null。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.<init>(RedisTemplateCreator.java:64)
19-06-18 20:51:51 DEBUG [main] RedisTemplate inited, dababase is [8]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-18 20:51:51 DEBUG [main] EHCache [ChatSessionCache] init success!。Caller+0	 at com.xudong.core.cache.EHCacheUtil.<init>(EHCacheUtil.java:52)
19-06-18 20:51:51 DEBUG [main] RedisTemplate inited, dababase is [4]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-18 20:51:51 DEBUG [main] CacheUtil inited,cacheName is [ChatSessionCache]。Caller+0	 at com.xudong.core.cache.CacheUtil.init(CacheUtil.java:56)
19-06-18 20:51:51 DEBUG [main] Cache [cacheName:ChatSessionCache,cacheClass:java.util.HashSet,redisDatabaseIndex:4] inited。Caller+0	 at com.xudong.core.cache.AbstractCache.initLog(AbstractCache.java:75)
19-06-18 20:51:51 DEBUG [main] get RedisTemplate, dababase is [4]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:117)
19-06-18 20:51:51 DEBUG [main] RedisTemplate inited, dababase is [6]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-18 20:51:51 INFO [main] Inited SqlSessionFactory,typeAliasesPackage:[com.xudong.im.domain],mapperLocations:[classpath*:mapper/*Mapper.xml],Mappers:[BlackListMapper.xml, SensitiveWordMapper.xml, TalkSkillMapper.xml]。Caller+0	 at com.xudong.core.mysql.MybatisHelper.getSqlSessionFactory(MybatisHelper.java:71)
19-06-18 20:51:52 INFO [main] >>>> WebSocketConfig inited。Caller+0	 at com.xudong.im.config.WebSocketConfig.registerStompEndpoints(WebSocketConfig.java:29)
19-06-18 20:51:53 INFO [main] >>>> RestTemplate inited。Caller+0	 at com.xudong.im.config.http.RestTemplateAutoConfiguration.restTemplate(RestTemplateAutoConfiguration.java:48)
19-06-18 20:52:46 DEBUG [main] EHCache [BlackListEHCache] init success!。Caller+0	 at com.xudong.core.cache.EHCacheUtil.<init>(EHCacheUtil.java:52)
19-06-18 20:52:46 INFO [main] RedisTemplateCreator inited,org.springframework.data.redis.connection.jedis.JedisConnectionFactory@4c531172,null。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.<init>(RedisTemplateCreator.java:64)
19-06-18 20:52:46 DEBUG [main] RedisTemplate inited, dababase is [8]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-18 20:52:46 DEBUG [main] EHCache [ChatSessionCache] init success!。Caller+0	 at com.xudong.core.cache.EHCacheUtil.<init>(EHCacheUtil.java:52)
19-06-18 20:52:46 DEBUG [main] RedisTemplate inited, dababase is [4]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-18 20:52:46 DEBUG [main] CacheUtil inited,cacheName is [ChatSessionCache]。Caller+0	 at com.xudong.core.cache.CacheUtil.init(CacheUtil.java:56)
19-06-18 20:52:46 DEBUG [main] Cache [cacheName:ChatSessionCache,cacheClass:java.util.HashSet,redisDatabaseIndex:4] inited。Caller+0	 at com.xudong.core.cache.AbstractCache.initLog(AbstractCache.java:75)
19-06-18 20:52:46 DEBUG [main] get RedisTemplate, dababase is [4]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:117)
19-06-18 20:52:46 DEBUG [main] RedisTemplate inited, dababase is [6]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-18 20:52:46 INFO [main] Inited SqlSessionFactory,typeAliasesPackage:[com.xudong.im.domain],mapperLocations:[classpath*:mapper/*Mapper.xml],Mappers:[BlackListMapper.xml, SensitiveWordMapper.xml, TalkSkillMapper.xml]。Caller+0	 at com.xudong.core.mysql.MybatisHelper.getSqlSessionFactory(MybatisHelper.java:71)
19-06-18 20:52:47 INFO [main] >>>> WebSocketConfig inited。Caller+0	 at com.xudong.im.config.WebSocketConfig.registerStompEndpoints(WebSocketConfig.java:29)
19-06-18 20:52:48 INFO [main] >>>> RestTemplate inited。Caller+0	 at com.xudong.im.config.http.RestTemplateAutoConfiguration.restTemplate(RestTemplateAutoConfiguration.java:48)
19-06-18 20:53:26 DEBUG [main] EHCache [BlackListEHCache] init success!。Caller+0	 at com.xudong.core.cache.EHCacheUtil.<init>(EHCacheUtil.java:52)
19-06-18 20:53:26 INFO [main] RedisTemplateCreator inited,org.springframework.data.redis.connection.jedis.JedisConnectionFactory@31f77791,null。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.<init>(RedisTemplateCreator.java:64)
19-06-18 20:53:26 DEBUG [main] RedisTemplate inited, dababase is [8]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-18 20:53:26 DEBUG [main] EHCache [ChatSessionCache] init success!。Caller+0	 at com.xudong.core.cache.EHCacheUtil.<init>(EHCacheUtil.java:52)
19-06-18 20:53:26 DEBUG [main] RedisTemplate inited, dababase is [4]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-18 20:53:26 DEBUG [main] CacheUtil inited,cacheName is [ChatSessionCache]。Caller+0	 at com.xudong.core.cache.CacheUtil.init(CacheUtil.java:56)
19-06-18 20:53:26 DEBUG [main] Cache [cacheName:ChatSessionCache,cacheClass:java.util.HashSet,redisDatabaseIndex:4] inited。Caller+0	 at com.xudong.core.cache.AbstractCache.initLog(AbstractCache.java:75)
19-06-18 20:53:26 DEBUG [main] get RedisTemplate, dababase is [4]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:117)
19-06-18 20:53:26 DEBUG [main] RedisTemplate inited, dababase is [6]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-18 20:53:26 INFO [main] Inited SqlSessionFactory,typeAliasesPackage:[com.xudong.im.domain],mapperLocations:[classpath*:mapper/*Mapper.xml],Mappers:[BlackListMapper.xml, SensitiveWordMapper.xml, TalkSkillMapper.xml]。Caller+0	 at com.xudong.core.mysql.MybatisHelper.getSqlSessionFactory(MybatisHelper.java:71)
19-06-18 20:53:28 INFO [main] >>>> WebSocketConfig inited。Caller+0	 at com.xudong.im.config.WebSocketConfig.registerStompEndpoints(WebSocketConfig.java:29)
19-06-18 20:53:28 INFO [main] >>>> RestTemplate inited。Caller+0	 at com.xudong.im.config.http.RestTemplateAutoConfiguration.restTemplate(RestTemplateAutoConfiguration.java:48)
19-06-18 20:55:12 DEBUG [main] EHCache [BlackListEHCache] init success!。Caller+0	 at com.xudong.core.cache.EHCacheUtil.<init>(EHCacheUtil.java:52)
19-06-18 20:55:12 INFO [main] RedisTemplateCreator inited,org.springframework.data.redis.connection.jedis.JedisConnectionFactory@1cbc5693,null。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.<init>(RedisTemplateCreator.java:64)
19-06-18 20:55:12 DEBUG [main] RedisTemplate inited, dababase is [8]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-18 20:55:12 DEBUG [main] EHCache [ChatSessionCache] init success!。Caller+0	 at com.xudong.core.cache.EHCacheUtil.<init>(EHCacheUtil.java:52)
19-06-18 20:55:12 DEBUG [main] RedisTemplate inited, dababase is [4]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-18 20:55:12 DEBUG [main] CacheUtil inited,cacheName is [ChatSessionCache]。Caller+0	 at com.xudong.core.cache.CacheUtil.init(CacheUtil.java:56)
19-06-18 20:55:12 DEBUG [main] Cache [cacheName:ChatSessionCache,cacheClass:java.util.HashSet,redisDatabaseIndex:4] inited。Caller+0	 at com.xudong.core.cache.AbstractCache.initLog(AbstractCache.java:75)
19-06-18 20:55:12 DEBUG [main] get RedisTemplate, dababase is [4]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:117)
19-06-18 20:55:12 DEBUG [main] RedisTemplate inited, dababase is [6]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-18 20:55:12 INFO [main] Inited SqlSessionFactory,typeAliasesPackage:[com.xudong.im.domain],mapperLocations:[classpath*:mapper/*Mapper.xml],Mappers:[BlackListMapper.xml, SensitiveWordMapper.xml, TalkSkillMapper.xml]。Caller+0	 at com.xudong.core.mysql.MybatisHelper.getSqlSessionFactory(MybatisHelper.java:71)
19-06-18 20:55:13 INFO [main] >>>> WebSocketConfig inited。Caller+0	 at com.xudong.im.config.WebSocketConfig.registerStompEndpoints(WebSocketConfig.java:29)
19-06-18 20:55:13 INFO [main] >>>> RestTemplate inited。Caller+0	 at com.xudong.im.config.http.RestTemplateAutoConfiguration.restTemplate(RestTemplateAutoConfiguration.java:48)
19-06-18 20:55:28 DEBUG [main] EHCache [BlackListEHCache] init success!。Caller+0	 at com.xudong.core.cache.EHCacheUtil.<init>(EHCacheUtil.java:52)
19-06-18 20:55:28 INFO [main] RedisTemplateCreator inited,org.springframework.data.redis.connection.jedis.JedisConnectionFactory@415795f3,null。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.<init>(RedisTemplateCreator.java:64)
19-06-18 20:55:28 DEBUG [main] RedisTemplate inited, dababase is [8]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-18 20:55:28 DEBUG [main] EHCache [ChatSessionCache] init success!。Caller+0	 at com.xudong.core.cache.EHCacheUtil.<init>(EHCacheUtil.java:52)
19-06-18 20:55:28 DEBUG [main] RedisTemplate inited, dababase is [4]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-18 20:55:28 DEBUG [main] CacheUtil inited,cacheName is [ChatSessionCache]。Caller+0	 at com.xudong.core.cache.CacheUtil.init(CacheUtil.java:56)
19-06-18 20:55:28 DEBUG [main] Cache [cacheName:ChatSessionCache,cacheClass:java.util.HashSet,redisDatabaseIndex:4] inited。Caller+0	 at com.xudong.core.cache.AbstractCache.initLog(AbstractCache.java:75)
19-06-18 20:55:28 DEBUG [main] get RedisTemplate, dababase is [4]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:117)
19-06-18 20:55:29 DEBUG [main] RedisTemplate inited, dababase is [6]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-18 20:55:29 INFO [main] Inited SqlSessionFactory,typeAliasesPackage:[com.xudong.im.domain],mapperLocations:[classpath*:mapper/*Mapper.xml],Mappers:[BlackListMapper.xml, SensitiveWordMapper.xml, TalkSkillMapper.xml]。Caller+0	 at com.xudong.core.mysql.MybatisHelper.getSqlSessionFactory(MybatisHelper.java:71)
19-06-18 20:55:30 INFO [main] >>>> WebSocketConfig inited。Caller+0	 at com.xudong.im.config.WebSocketConfig.registerStompEndpoints(WebSocketConfig.java:29)
19-06-18 20:55:30 INFO [main] >>>> RestTemplate inited。Caller+0	 at com.xudong.im.config.http.RestTemplateAutoConfiguration.restTemplate(RestTemplateAutoConfiguration.java:48)
19-06-19 19:49:30 INFO [main] RedisTemplateCreator inited,org.springframework.data.redis.connection.jedis.JedisConnectionFactory@7ed7ae,null。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.<init>(RedisTemplateCreator.java:64)
19-06-19 19:49:30 DEBUG [main] EHCache [StaffAgentCache] init success!。Caller+0	 at com.xudong.core.cache.EHCacheUtil.<init>(EHCacheUtil.java:52)
19-06-19 19:49:30 DEBUG [main] RedisTemplate inited, dababase is [5]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-19 19:49:30 DEBUG [main] CacheUtil inited,cacheName is [StaffAgentCache]。Caller+0	 at com.xudong.core.cache.CacheUtil.init(CacheUtil.java:56)
19-06-19 19:49:30 DEBUG [main] Cache [cacheName:StaffAgentCache,cacheClass:com.xudong.im.domain.user.StaffAgent,redisDatabaseIndex:5] inited。Caller+0	 at com.xudong.core.cache.AbstractCache.initLog(AbstractCache.java:75)
19-06-19 19:49:30 DEBUG [main] get RedisTemplate, dababase is [5]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:117)
19-06-19 19:49:30 DEBUG [main] EHCache [VisitorAgentCache] init success!。Caller+0	 at com.xudong.core.cache.EHCacheUtil.<init>(EHCacheUtil.java:52)
19-06-19 19:49:30 DEBUG [main] RedisTemplate inited, dababase is [6]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-19 19:49:30 DEBUG [main] CacheUtil inited,cacheName is [VisitorAgentCache]。Caller+0	 at com.xudong.core.cache.CacheUtil.init(CacheUtil.java:56)
19-06-19 19:49:30 DEBUG [main] Cache [cacheName:VisitorAgentCache,cacheClass:com.xudong.im.domain.user.VisitorAgent,redisDatabaseIndex:6] inited。Caller+0	 at com.xudong.core.cache.AbstractCache.initLog(AbstractCache.java:75)
19-06-19 19:49:30 DEBUG [main] EHCache [UserAgentSessionKeyCache] init success!。Caller+0	 at com.xudong.core.cache.EHCacheUtil.<init>(EHCacheUtil.java:52)
19-06-19 19:49:30 INFO [main] >>>> UserAgentReadFilter inited, excludes [Excludor{excludes=[, /**/*swagger-*/**, /v2/api-docs, /**/*.gif, /error, /**/*.png, /**/validateCode*, /**/login, /**/login/**, /**/validate-code/**, /**/ws/**, /**/imageUploador-upload, /, /**/*.ico, /**/kindeditor-*-upload, /_component/**, /**/*swagger-*, /**/*.jpg, /**/*.jpeg, /**/*.js]}]。Caller+0	 at com.xudong.core.filter.AbstractUserContextFilter.init(AbstractUserContextFilter.java:37)
19-06-19 19:49:30 DEBUG [main] EHCache [BlackListEHCache] init success!。Caller+0	 at com.xudong.core.cache.EHCacheUtil.<init>(EHCacheUtil.java:52)
19-06-19 19:49:30 DEBUG [main] RedisTemplate inited, dababase is [8]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-19 19:49:30 DEBUG [main] EHCache [ChatSessionCache] init success!。Caller+0	 at com.xudong.core.cache.EHCacheUtil.<init>(EHCacheUtil.java:52)
19-06-19 19:49:30 DEBUG [main] RedisTemplate inited, dababase is [4]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:112)
19-06-19 19:49:30 DEBUG [main] CacheUtil inited,cacheName is [ChatSessionCache]。Caller+0	 at com.xudong.core.cache.CacheUtil.init(CacheUtil.java:56)
19-06-19 19:49:30 DEBUG [main] Cache [cacheName:ChatSessionCache,cacheClass:java.util.HashSet,redisDatabaseIndex:4] inited。Caller+0	 at com.xudong.core.cache.AbstractCache.initLog(AbstractCache.java:75)
19-06-19 19:49:30 DEBUG [main] get RedisTemplate, dababase is [4]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:117)
19-06-19 19:49:30 DEBUG [main] get RedisTemplate, dababase is [6]。Caller+0	 at com.xudong.core.cache.RedisTemplateCreator.getRedisTemplate(RedisTemplateCreator.java:117)
19-06-19 19:49:31 INFO [main] Inited SqlSessionFactory,typeAliasesPackage:[com.xudong.im.domain],mapperLocations:[classpath*:mapper/*Mapper.xml],Mappers:[BlackListMapper.xml, SensitiveWordMapper.xml, TalkSkillMapper.xml]。Caller+0	 at com.xudong.core.mysql.MybatisHelper.getSqlSessionFactory(MybatisHelper.java:71)
19-06-19 19:49:32 DEBUG [main] ==>  Preparing: select sw.id ,sw.gmt_modify ,sw.words FROM sensitive_word sw 。Caller+0	 at org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(BaseJdbcLogger.java:143)
19-06-19 19:49:32 DEBUG [main] ==> Parameters: 。Caller+0	 at org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(BaseJdbcLogger.java:143)
19-06-19 19:49:32 DEBUG [main] <==      Total: 1。Caller+0	 at org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(BaseJdbcLogger.java:143)
19-06-19 19:49:32 ERROR [main] >>>> Sensitive Word inited，total 【2276】。Caller+0	 at com.xudong.core.sensitiveword.SensitiveWordIniter.initKeyWord(SensitiveWordIniter.java:69)
19-06-19 19:49:33 INFO [main] >>>> UserAuthInterceptor added, excludes [/**/login]。Caller+0	 at com.xudong.im.config.ApplicationBeansConfiguration.addInterceptors(ApplicationBeansConfiguration.java:95)
19-06-19 19:49:34 INFO [main] >>>> WebSocketConfig inited。Caller+0	 at com.xudong.im.config.WebSocketConfig.registerStompEndpoints(WebSocketConfig.java:29)
19-06-19 19:49:34 INFO [main] >>>> RestTemplate inited。Caller+0	 at com.xudong.im.config.http.RestTemplateAutoConfiguration.restTemplate(RestTemplateAutoConfiguration.java:48)
19-06-19 19:49:36 DEBUG [main] Put redis objectTypeKey is [StaffAgentCache],objectKey is [604e9089a46ef1021cd78e6cb8b15bb5fb3f5092], value is [com.xudong.im.domain.user.StaffAgent@76ccde41]。Caller+0	 at com.xudong.core.cache.RedisUtil.put(RedisUtil.java:66)
